episode_length,P09:episode_rewards,value_loss,P01:episode_rewards,epoch_idx,policy_loss,explained_variance,frames,fps,grad_norm,policy_entropy,PMM:episode_rewards,advantage_norm
510.35,18.0,0.023874982809647918,7.0,137,-0.007002948425943032,0.7393994057178497,1096000,348,0.6441668131325875,1.100392714738846,12.23,1.8971879494190216
515.05,18.10000000000001,0.019820069409906865,7.0,138,-0.004044382384454366,0.7781919407844543,1104000,348,0.5671379246584266,1.1583602666854858,12.02,1.7441080498695374
522.09,19.0,0.02204557816963643,7.0,139,-0.00790223941759905,0.7427035218477249,1112000,348,0.6105809710796584,1.1550187110900878,12.18,1.8330712747573852
528.23,19.0,0.03217873841524124,7.0,140,-0.010518768607871607,0.6490462648868561,1120000,348,0.7940574745730238,1.114944913983345,12.35,2.0385208249092104
537.85,20.0,0.02047052952926606,6.0,141,-0.00047522936016321184,0.743585290312767,1128000,347,0.5934651469645373,1.1521970754861832,12.59,1.7607785034179688
544.2,20.0,0.023082207590341568,6.0,142,-0.009182859539287165,0.7357863396406173,1136000,347,0.6177793753601006,1.08740817964077,12.88,1.8754354059696197
550.87,19.10000000000001,0.024648947888053954,5.9,143,-0.005228983505949145,0.7287087535858154,1144000,347,0.6462649064619539,1.1522281873226166,12.98,1.9275440132617951
550.09,19.10000000000001,0.023024476934224367,6.800000000000001,144,-0.005264762234000955,0.7384603148698807,1152000,347,0.5986228496503156,1.139906756877899,13.45,1.8636851513385773
554.97,21.0,0.020980499954894184,7.0,145,-0.008263136128953193,0.7602163004875183,1160000,347,0.5653104411103926,1.146376396417618,14.06,1.802043627500534
556.14,20.10000000000001,0.022590896869078277,7.0,146,-0.006503111521014944,0.7542418491840363,1168000,347,0.6079122238251553,1.1498698991537095,13.92,1.8430078411102295
562.43,20.10000000000001,0.023955879560671748,7.0,147,-0.004386768858821597,0.7391705811023712,1176000,347,0.646664458943918,1.1505073583126069,14.23,1.9089050126075744
566.6,20.10000000000001,0.02679255872964859,8.0,148,-0.009256171778542922,0.7231718754768371,1184000,346,0.7840502096589854,1.1503026115894317,14.51,2.011297961473465
576.88,21.0,0.022926007872447373,8.0,149,-0.002683327428530902,0.736615219116211,1192000,346,0.6201605008398748,1.13860482275486,14.82,1.856262943148613
581.77,21.10000000000001,0.025448539312928915,9.0,150,-0.0073474845397140595,0.727855252623558,1200000,346,0.669889170902903,1.1341398799419402,15.08,1.9577262461185456
583.03,21.10000000000001,0.020858966717496513,9.0,151,-0.000632437220774591,0.7780997878313065,1208000,346,0.5595863304230817,1.1874241578578948,15.09,1.778155654668808
