fps,value_loss,explained_variance,policy_entropy,policy_loss,P09:episode_rewards,grad_norm,PMM:episode_rewards,epoch_idx,advantage_norm,episode_length,P01:episode_rewards,frames
481,0.019753217687830327,0.8067486923933029,1.2003731536865234,-0.006483081147016492,12.0,0.4566138774688578,6.71,97,1.73349937915802,336.05,2.0,776000
482,0.016271351983305066,0.8389369696378708,1.2511680662631988,-0.0013188785029342397,12.0,0.40450401650380796,6.86,98,1.5508020967245102,341.05,2.0,784000
482,0.01740403823554516,0.8330698662996292,1.2477513825893403,-0.008427739594480954,13.0,0.4617471408575756,7.76,99,1.6131770622730255,373.14,2.0,792000
482,0.013919539684429764,0.8199071478843689,1.2398465549945832,-0.005962506940995808,13.0,0.3922170569111362,7.78,100,1.4562073755264282,374.7,3.0,800000
482,0.014559144543018192,0.8461847299337387,1.2406636559963227,-0.0034615638237482926,13.0,0.40560092410265575,7.79,101,1.4884909093379974,373.51,4.0,808000
482,0.016112452833913268,0.8239861935377121,1.2327452647686004,-0.005087192981300177,13.0,0.41221906754812054,7.63,102,1.5603250813484193,366.71,4.0,816000
483,0.017195446433033792,0.8059286022186279,1.203755385875702,-0.005831792608369142,12.0,0.4344006634527635,7.05,103,1.6021304416656494,351.31,3.0,824000
483,0.029921658993698655,0.6724785149097443,1.092745273709297,-0.009917149186367168,11.0,0.7102705225447794,6.76,104,2.017595766186714,345.62,3.0,832000
483,0.01871705233352259,0.7920104604959488,1.185739996433258,-0.001435336717404425,11.0,0.470343371526808,6.13,105,1.6253786104917527,330.39,2.0,840000
484,0.018554633809253575,0.7686853015422821,1.2103976356983184,-0.007285960938752396,13.0,0.4441921458802361,6.6,106,1.6920441138744353,350.78,2.0,848000
484,0.021754168695770203,0.7721854043006897,1.1785788452625274,-0.003929609324331978,13.0,0.47314011230161973,7.14,107,1.8053264117240906,364.67,2.0,856000
484,0.018587587075307964,0.7734215730428695,1.1732727253437043,-0.004984027758473531,14.0,0.47783148441968776,7.85,108,1.682296679019928,384.05,2.0,864000
484,0.01981539145577699,0.7891803425550461,1.1947310197353362,-0.005682794327731245,14.0,0.4977911915468207,8.42,109,1.7388663178682326,399.26,2.9000000000000004,872000
484,0.015522324456833303,0.8399382853507995,1.1522742819786072,-0.0035985679954683293,14.0,0.4364921569556697,9.0,110,1.5373230862617493,413.68,4.0,880000
485,0.016147610293701292,0.7922204166650773,1.1454105827212333,-0.004983184901066124,14.0,0.45169928202374593,8.99,111,1.5758269518613814,400.91,4.0,888000
485,0.018030739929527043,0.7780372315645218,1.1295045053958892,-0.007164110201410949,14.0,0.4957393748021448,9.0,112,1.6377916538715362,410.74,4.0,896000
485,0.014813001197762788,0.8217231178283692,1.1782183516025544,-0.0030886986159021036,13.0,0.39604142429078776,8.64,113,1.508679251074791,393.12,4.0,904000
485,0.015978776081465185,0.8236681360006333,1.1761826086044311,-0.005665337047539651,13.100000000000009,0.4478785115787583,8.95,114,1.5565217351913452,398.79,4.0,912000
486,0.018967167185619475,0.8030611407756806,1.1703242063522339,-0.004029780859127641,13.100000000000009,0.44770119144018516,9.07,115,1.6994678217172623,402.73,4.0,920000
486,0.021200301595963537,0.7854392313957215,1.2053361809253693,-0.004590826720232144,14.100000000000009,0.4670745306529448,9.35,116,1.7618754595518111,417.29,4.0,928000
486,0.021313485959544777,0.7750478386878967,1.1845768862962722,-0.005517894636432175,14.0,0.5035980138364596,9.37,117,1.7978700941801071,413.35,4.0,936000
486,0.01739091016817838,0.8095733481645584,1.1829661601781845,-0.0029264441039413215,14.0,0.43274285573584725,9.48,118,1.6222115868330003,423.71,4.0,944000
486,0.016703314855694772,0.8243375796079636,1.1561289304494857,-0.006981687719817273,14.0,0.5053678437748759,9.78,119,1.594219890832901,431.24,4.9,952000
486,0.015678077591583132,0.8340130883455277,1.1727169573307037,-0.006486890593250792,16.0,0.42939870875798475,9.97,120,1.542367309331894,441.63,4.0,960000
