frames,explained_variance,value_loss,policy_loss,advantage_norm,episode_length,fps,P01:episode_rewards,PMM:episode_rewards,grad_norm,policy_entropy,P09:episode_rewards,epoch_idx
960000,-0.6735048258304596,0.0005742237843787734,-0.0005059502540825634,0.23267739817500113,191.64,481,0.0,1.68,0.03741426012666278,1.3856913983821868,4.1000000000000085,120
968000,-1.09857681453228,0.0006923361283088525,-4.935287150146905e-05,0.234412987716496,189.42,481,0.0,1.58,0.03789649447915786,1.385845991373062,4.0,121
976000,-76.22893517494202,0.001061045565011227,7.303467384190299e-05,0.2706103770434856,181.37,481,0.0,1.33,0.04169143985328596,1.3854234504699707,3.1000000000000085,122
984000,-1.131904332637787,0.0005560316383889586,-0.00018494608149921988,0.20667707782238723,181.57,482,0.0,1.42,0.033769753556689104,1.3851153564453125,3.0,123
992000,-2.023263835310936,0.00044314858270354306,0.00022118963588582118,0.1788930056244135,183.4,482,0.0,1.47,0.02612651666785445,1.3854837954044341,3.0,124
1000000,-0.7357433837652206,0.000305727608874804,-6.553242701556883e-05,0.13862239737063647,174.69,482,0.0,1.19,0.02327798553234227,1.3856720888614655,3.0,125
1008000,0.24013201355934144,0.0005815527841787116,-5.668507990776561e-05,0.2221623919531703,183.31,482,0.0,1.38,0.036290240878556715,1.3848855638504027,4.0,126
1016000,-5.045565574765205,0.0005554160935480468,0.0001520900125251501,0.1994558796659112,190.4,482,0.0,1.53,0.03257257426327623,1.385535365343094,4.0,127
1024000,-25.62383683383465,0.0005693300396524137,-0.00011225279746213346,0.20127416782081128,183.62,482,0.0,1.38,0.03112467704674555,1.3854361724853517,3.1000000000000085,128
1032000,-35.09497001290321,0.0007010894081258812,0.00011021216228982666,0.22414329776540398,179.52,482,0.0,1.32,0.04058827830848728,1.3845410132408142,4.0,129
1040000,-0.6766449284553527,0.0006947392612346448,-0.00027546718876692467,0.23517423007637261,189.62,482,0.0,1.58,0.0355835920545287,1.3843783307075501,4.0,130
1048000,-0.7466987657546997,0.0009698928139823692,-2.7078087791778673e-05,0.27007291045039894,194.56,482,0.0,1.69,0.04495195044370009,1.3849133801460267,4.0,131
1056000,-0.5240964806079864,0.0009378217595713067,-5.48378644452896e-05,0.26797417338937524,190.75,482,0.0,1.6,0.03962994074235806,1.3848577439785004,4.0,132
1064000,-2.4450595104694366,0.0006201938547428654,-0.00011333494373502617,0.21040211856365204,186.1,483,0.0,1.52,0.03336924753587601,1.3835323107242585,4.0,133
1072000,-1.4646014446020126,0.0008589371564585235,0.0002651004109429778,0.2460905147343874,186.65,483,0.0,1.56,0.03658025518532253,1.3846615719795228,4.0,134
1080000,-2.340443826317787,0.00031155920059518395,0.00017015261119013303,0.14644262548536063,175.54,483,0.0,1.22,0.022391184835028576,1.3857949602603912,3.0,135
1088000,-0.8916926020383835,0.0006664546428191897,9.333630368928424e-06,0.2005213631875813,175.67,483,0.0,1.16,0.032781325803445296,1.3858767211437226,3.0,136
1096000,-1.4456716620922088,0.0006185253197736528,1.058611682310584e-05,0.2160333728045225,186.21,483,0.0,1.4,0.032805723464143635,1.385931807756424,4.0,137
1104000,-1.0460021001100541,0.0006787517772545471,0.00038068493238824886,0.23601905081421137,185.87,483,0.0,1.42,0.03703035694474351,1.3855873942375183,4.0,138
1112000,-2.4732154792547227,0.0007881706021362334,-0.00021605545133752458,0.234070880189538,185.78,483,0.0,1.45,0.03748251091008379,1.3837300741672516,4.0,139
1120000,-1.4304540646076203,0.00103355156789803,-0.0004296312286169268,0.28476890608668326,183.8,483,0.0,1.43,0.04583685070320449,1.384009461402893,4.0,140
