epoch_idx,advantage_norm,PMM:episode_rewards,episode_length,policy_entropy,value_loss,policy_loss,P01:episode_rewards,explained_variance,frames,P09:episode_rewards,grad_norm,fps
96,1.4271181589365005,6.52,360.6,1.2772427308559418,0.013560074749402701,-0.0031919427460525185,0.0,0.8734962904453277,768000,12.0,0.4007557789196504,306
97,1.6158523243665694,6.55,363.79,1.2595654344558715,0.017556157070212065,-0.004454213920980692,2.0,0.844686569571495,776000,11.0,0.46426764075432436,306
98,1.3736715751886368,6.32,357.15,1.261246418952942,0.012527608529198915,-0.0023379021481378004,2.0,0.8812266623973847,784000,11.0,0.3744956817585917,306
99,1.5819044154882431,6.07,355.58,1.262056783437729,0.016842051832936702,-0.0056623009260511024,2.0,0.835579726099968,792000,11.0,0.4512420042964818,307
100,1.423823463320732,6.45,362.35,1.2766447567939758,0.013610080319922417,-0.0033527639204112346,2.0,0.8719552594423294,800000,11.0,0.391064735980415,307
101,1.4512012869119644,6.4,362.53,1.2457399415969848,0.013733794535510243,-0.002015914919611532,1.9000000000000004,0.8793601840734482,808000,12.0,0.40793730637853914,307
102,1.5310714572668076,6.48,357.94,1.197995604276657,0.015353551963344217,-0.005005557679687626,0.9000000000000004,0.836403934955597,816000,12.0,0.417478082285429,307
103,1.5889847928285599,6.49,361.75,1.2382667326927186,0.016567466114647687,-0.005395698574720882,1.0,0.8240123081207276,824000,12.0,0.4349383280763557,307
104,1.57905244410038,6.16,355.04,1.240022269487381,0.016235573375597598,-0.004583072508066835,1.0,0.8355650007724762,832000,11.0,0.4636524164268292,307
105,1.7161835825443268,6.58,372.92,1.2047881400585174,0.01900828767567873,-0.004170024403138086,1.0,0.8010320490598679,840000,11.0,0.5227623874309597,307
106,1.677459602355957,7.22,386.69,1.2387882030010224,0.018630183269269764,-0.0032883033045800402,1.9000000000000004,0.8086489951610565,848000,13.0,0.4684027198144223,307
107,1.7095539939403535,7.84,404.37,1.2466977787017823,0.01935255767777562,-0.005874769469664897,2.0,0.829276841878891,856000,14.0,0.4922836122471896,308
108,1.5624009436368942,7.63,393.95,1.245712537765503,0.016204709322191774,-0.00335668401356088,2.0,0.8561796414852142,864000,14.0,0.46613662121798827,308
109,1.7266284728050232,8.05,406.04,1.2413744509220124,0.019904095069505273,-0.0009220000126515515,2.0,0.808803198337555,872000,14.100000000000009,0.5063463095034691,308
110,1.700709707736969,8.61,420.75,1.2433234775066375,0.01905221965163946,-0.007286951532119019,2.0,0.8038088876008987,880000,15.0,0.49384795384099056,308
111,1.6310848271846772,8.03,401.86,1.2165805399417877,0.017375030326656996,-0.0018107055766449776,2.0,0.8463643884658814,888000,14.200000000000017,0.4714546852262359,308
112,1.6525415921211242,7.49,390.31,1.2280833840370178,0.017826070711016655,-0.003922284116852097,2.0,0.8324374598264694,896000,14.0,0.46862865095270073,308
113,1.7349389797449113,8.0,406.58,1.2403011512756348,0.020147244944237173,-0.003167484255391173,2.0,0.7972250163555146,904000,14.100000000000009,0.5043657589488256,308
114,1.473458456993103,7.59,394.06,1.241218514442444,0.01426156200002879,-0.0026664138975320386,1.9000000000000004,0.866748286485672,912000,14.100000000000009,0.4126795592431138,308
115,1.607651915550232,7.58,394.04,1.2491678190231323,0.016843271008692682,-0.0041516161221079526,1.0,0.8459743803739548,920000,14.0,0.4647159268104579,308
116,1.6985266160964967,7.74,397.88,1.2279345166683198,0.018878173385746776,-0.005351916662184522,1.0,0.8301156276464462,928000,14.0,0.47811650016504176,308
117,1.7296104228496552,7.91,401.76,1.2278366816043853,0.019624806344509124,-0.002427505116938846,2.0,0.819287257194519,936000,14.0,0.4928967120366826,308
118,1.7376098620891571,8.15,404.03,1.2097771084308624,0.020183040769770743,-0.004705102518782951,2.0,0.7938880777359009,944000,13.100000000000009,0.5124124979147919,308
119,1.6398056364059448,8.6,416.64,1.2309729421138764,0.017492482918314636,-0.006141688927891664,2.0,0.8180905401706695,952000,13.100000000000009,0.47931244109799215,309
120,1.4944128507375718,8.44,411.73,1.2406877171993256,0.01481601141858846,-0.0048017048521433025,2.0,0.8578259783983231,960000,13.0,0.441295190660254,309
121,1.5901684027910232,8.21,410.46,1.2211414754390717,0.01646711515262723,-0.002598316535586491,2.0,0.8236200445890427,968000,13.0,0.45512034771309456,309
122,1.7795070862770082,8.63,425.61,1.2113771784305571,0.02104312390089035,-0.00286094973096624,2.9000000000000004,0.7918439775705337,976000,14.0,0.5402310214684387,309
123,1.8079709422588348,8.06,414.35,1.2135619699954987,0.021552296709269284,-0.004377849477696145,2.0,0.8007638227939605,984000,12.100000000000009,0.5382997065395557,309
124,1.8201236522197723,8.23,420.89,1.2122871470451355,0.02184498745482415,-0.003949452656088397,2.0,0.8100079864263534,992000,14.0,0.5313900752128182,309
125,1.6970244306325912,8.62,426.32,1.2198713338375091,0.01868528504855931,-0.0021997683413792404,2.0,0.8044708651304245,1000000,15.0,0.4875385694487027,309
126,1.7888643872737884,8.97,434.99,1.2128112244606017,0.021028623152524233,-0.0032031569088576363,2.9000000000000004,0.7861535900831222,1008000,17.0,0.5298210817382423,309
127,1.6284555691480636,9.02,431.42,1.2467241835594178,0.017718301713466646,-0.006412546473147813,2.9000000000000004,0.8233806562423706,1016000,17.0,0.4535567687423452,309
128,1.742825431227684,8.91,428.24,1.2485524344444274,0.019936882997862993,-0.005793464898888487,2.0,0.8087900310754776,1024000,16.0,0.5043326546148712,310
129,1.8873749339580537,9.4,442.2,1.229562646150589,0.023005020702257753,-0.0072296479507349435,3.0,0.7750695520639419,1032000,15.100000000000009,0.5941203084779978,310
130,1.8942558109760284,9.6,453.71,1.2141723001003266,0.02345889715477824,-0.01128087626213528,3.9000000000000004,0.7491710960865021,1040000,15.100000000000009,0.5849040873024035,310
131,1.954979145526886,9.89,464.97,1.216215045452118,0.024981592474505307,-0.005642023296804837,4.0,0.7255777657032013,1048000,15.100000000000009,0.5836795165155736,310
132,2.1034125542640685,10.56,479.19,1.1942222726345062,0.028576266253367066,-0.006534641053294763,5.0,0.7232792621850967,1056000,18.10000000000001,0.6399433419388741,310
133,2.0569825088977813,11.17,491.28,1.1668960440158844,0.027737837308086453,-0.012407043019193225,6.0,0.7246424049139023,1064000,19.0,0.6584719545046346,310
134,2.117789021730423,11.93,499.95,1.134452782869339,0.029391959495842456,-0.010950799616402947,6.0,0.6673743003606796,1072000,20.10000000000001,0.650398905556282,310
135,1.9739533710479735,12.66,520.51,1.1634557628631592,0.02547843667678535,-0.006442018283996731,6.0,0.7341130876541138,1080000,20.10000000000001,0.6015463362149998,310
136,1.939566411972046,13.12,533.56,1.1099744248390198,0.024892196971923113,-0.012267197587061674,7.0,0.724909753203392,1088000,21.0,0.6378882941263074,310
137,1.968309532403946,13.68,550.9,1.1698915600776671,0.025467912992462517,-0.006458143872441724,8.0,0.72865254342556,1096000,21.0,0.6226502115396836,310
138,1.8992340517044068,14.34,559.74,1.1687297171354294,0.02375801418442279,-0.0074497198453173045,8.0,0.7342921805381775,1104000,21.10000000000001,0.5696990907731819,311
139,1.9495375406742097,14.43,563.81,1.1242445492744446,0.024908684939146043,-0.00795973088213941,9.0,0.7534199631214142,1112000,21.10000000000001,0.6309682166354649,311
140,1.9433760499954225,14.63,569.3,1.1198210549354553,0.02513639850076288,-0.009392054907220882,9.0,0.7404163879156113,1120000,21.10000000000001,0.6213759462557358,311
141,1.984691836833954,15.03,584.83,1.0854293793439864,0.025667519499547778,-0.005956862318853382,9.0,0.6655852258205414,1128000,21.10000000000001,0.6516284918771313,311
142,2.001836199760437,14.84,575.99,1.0954605668783188,0.026457492345944047,-0.0061962674738606435,9.0,0.725665130019188,1136000,22.0,0.629796563751591,311
143,2.0131052005290986,15.41,582.9,1.1347468328475951,0.026601818120107056,-0.011112966512446292,9.0,0.7280633950233459,1144000,22.10000000000001,0.6431249443850976,311
144,1.8803530418872834,14.92,567.15,1.1233987683057785,0.02317653044126928,-0.005196151020936668,9.0,0.7511681842803956,1152000,22.10000000000001,0.5955174089483274,311
145,2.1691441321372986,15.12,569.82,1.0876385986804962,0.031167307537980377,-0.004071241031342651,9.0,0.698759668469429,1160000,23.0,0.6996278255733763,311
146,2.0514289820194245,15.67,584.47,1.1174793243408203,0.027573193786665798,-0.0029710712155792862,9.0,0.6905225974321365,1168000,25.10000000000001,0.6146683988908578,311
147,2.1442291009426118,16.2,599.13,1.1277450478076936,0.030837022690102456,-0.009526637825547368,9.0,0.6906425684690476,1176000,26.0,0.6983116550308798,311
148,2.1520805925130846,17.15,628.13,1.1317621755599976,0.030431489436887206,-0.010895347720943391,9.0,0.683215936422348,1184000,26.10000000000001,0.7001588410940613,311
149,1.9906134796142578,17.32,630.7,1.1608191680908204,0.026562230633571743,-0.007114669033326209,9.0,0.7235750675201416,1192000,27.0,0.58790895302214,311
150,2.1238256829977034,17.43,641.67,1.1162066292762756,0.03028101461008191,-0.006813803096447373,10.0,0.7022458511590958,1200000,27.0,0.6563785766681263,311
151,2.1772246766090393,17.66,649.0,1.0947850316762924,0.03180272820405662,-0.00904061943248962,9.9,0.6970074957609177,1208000,27.200000000000017,0.7011318832063372,311
152,2.200760010480881,18.26,660.27,1.1188255697488785,0.03204012405592948,-0.015424731458515452,10.0,0.6936901074647903,1216000,27.200000000000017,0.718520721064085,311
153,2.0918991947174073,18.95,677.9,1.1285455483198166,0.028948771385475993,-0.009954261983511969,11.0,0.6985342454910278,1224000,27.0,0.6879742957120452,311
154,1.9993522226810456,18.89,671.97,1.1220298206806183,0.026060852305963635,-0.006175987529568374,11.0,0.6991051232814789,1232000,27.0,0.6572742900739036,312
155,2.186653652191162,18.74,665.73,1.1298105961084366,0.03164297273382544,-0.013570917993783951,10.0,0.7056956028938294,1240000,26.10000000000001,0.7667835851977904,312
156,2.1029885268211364,18.5,657.64,1.1143453621864319,0.029320869371294977,-0.007330406541004777,10.0,0.7063263207674026,1248000,26.10000000000001,0.6844910905810518,312
157,1.979350837469101,18.34,655.84,1.1192246061563491,0.025675262566655876,-0.004104595715180039,9.0,0.7125375097990037,1256000,26.0,0.6086552271956891,312
158,2.124735682606697,19.16,674.37,1.1368840539455414,0.030251765549182894,-0.007656285366974771,9.9,0.7107608193159103,1264000,29.0,0.7113359376459567,312
159,2.1095400255918504,19.27,677.08,1.1121922248601914,0.029258372876793146,-0.014716898349724943,10.0,0.7141100198030472,1272000,29.0,0.6410446032212819,312
160,2.036288487911224,19.09,673.86,1.104085748195648,0.027254971489310265,-0.004108615363948047,10.0,0.7356906509399415,1280000,29.10000000000001,0.6070724237301817,312
161,2.1423080879449845,18.9,671.69,1.0760617810487747,0.03050592803861946,-0.014950607433565893,10.0,0.7263303655385971,1288000,29.0,0.67946495107503,312
162,2.089907406568527,19.13,680.98,1.0753065204620362,0.02918020348995924,-0.007084226457154727,10.0,0.692553591132164,1296000,29.10000000000001,0.6480436048004191,312
163,2.140837984085083,19.0,681.92,1.0671324968338012,0.030687993583269416,-0.011009648918407038,10.0,0.6690782248973847,1304000,29.10000000000001,0.6541625401265871,312
164,2.0101306939125063,19.64,695.47,1.0769609612226487,0.027031765854917466,-0.006037848343257792,10.0,0.7142112976312638,1312000,31.10000000000001,0.6129414439016758,313
165,2.0150487273931503,19.68,696.5,1.008275997042656,0.027186827939003705,-0.01300318957073614,11.0,0.7527575874328614,1320000,30.10000000000001,0.6796167892771697,313
166,2.136613951921463,20.02,705.79,1.024358252286911,0.03064775826409459,-0.014339598008082249,11.0,0.685914591550827,1328000,32.0,0.7085003000815459,313
167,2.2443735074996947,20.06,704.41,1.032312833070755,0.033450481789186595,-0.0162845370152354,11.0,0.7053611052036285,1336000,31.10000000000001,0.7436277304513422,313
168,2.2047905576229097,20.37,703.28,1.047395076751709,0.032272086460143325,-0.006168663338467013,11.0,0.6931519824266433,1344000,32.0,0.6950827950064594,313
169,2.2721256363391875,21.26,720.23,1.0588692939281463,0.03499090420082211,-0.011033893034036736,11.0,0.6856384098529815,1352000,33.10000000000001,0.7821068634855978,313
170,2.06993950009346,21.57,719.43,1.017448344230652,0.028180295238271355,-0.007811519622337073,12.0,0.7107841318845749,1360000,34.0,0.647699180510577,313
