episode_length,policy_entropy,grad_norm,explained_variance,P01:episode_rewards,policy_loss,frames,fps,PMM:episode_rewards,epoch_idx,advantage_norm,value_loss,P09:episode_rewards
358.1,1.242487200498581,0.4068127535157837,0.8466970074176788,2.0,-0.003860735568450764,816000,490,6.63,102,1.5608497458696364,0.016348383598960937,12.0
352.96,1.2095011007785796,0.36510926435552354,0.8367024463415146,2.0,-0.006076988000568235,824000,490,6.67,103,1.523176173567772,0.01552388131385669,12.100000000000009
329.91,1.2304087173938751,0.3911763352115394,0.8691845548152923,0.0,-0.0021855260827578606,832000,490,5.98,104,1.537856526374817,0.015818355549126865,12.0
315.68,1.2458558535575868,0.3639735360227077,0.873551275730133,0.0,-0.002081196013605222,840000,490,5.47,105,1.4074407690763473,0.013192097628489137,12.0
320.77,1.1915572905540466,0.4730063356537228,0.8191456204652786,0.0,-0.003547602978069335,848000,490,5.65,106,1.6994004970788956,0.019021454802714288,11.100000000000009
328.75,1.2053886926174164,0.42906935804947144,0.7993225508928299,0.0,-0.006409539368469268,856000,490,5.88,107,1.687314322590828,0.01875417054630816,12.0
344.25,1.240182840824127,0.3555644344560168,0.8602436739206314,0.0,-0.003301719594746828,864000,491,6.46,108,1.3868263494968414,0.01265948572428897,12.0
355.09,1.2422943222522735,0.46659689005424226,0.7896979749202728,0.9000000000000004,-0.004474115063330828,872000,491,6.91,109,1.6447909885644914,0.020329777803272008,13.0
356.45,1.2496103489398955,0.39396624876191255,0.8517108511924744,0.9000000000000004,-0.0019395430630538613,880000,491,6.85,110,1.5388125425577164,0.015718626612797378,12.100000000000009
374.44,1.2597693383693696,0.3845256013292931,0.8627806627750396,2.0,-0.005737475534551777,888000,491,7.26,111,1.4987210714817047,0.014921111101284624,13.0
358.81,1.231189956665039,0.36735368953704606,0.8619464254379272,2.0,-0.0028437337354989723,896000,492,6.51,112,1.4259230428934098,0.013565377390477806,11.100000000000009
351.19,1.259236911535263,0.3427751653239075,0.890090075135231,2.0,-0.00179160114726983,904000,492,6.28,113,1.3352592611312866,0.011980174672789872,11.0
365.17,1.2522633063793183,0.4015669357672133,0.8621079778671265,2.0,-0.0031323415593942625,912000,492,6.72,114,1.4615824294090272,0.01423731213901192,12.0
