frames,policy_loss,episode_length,explained_variance,epoch_idx,advantage_norm,policy_entropy,grad_norm,PMM:episode_rewards,fps,value_loss,P01:episode_rewards,P09:episode_rewards
736000,-0.0045485846119117926,299.21,0.8633987385034562,92,1.3920702987909317,1.2209269785881043,0.42403354188724357,4.91,592,0.01272180415922776,2.0,9.100000000000009
744000,-0.004736047895275988,301.5,0.8655980324745178,93,1.3462566173076629,1.2270333933830262,0.3837697511204848,5.14,591,0.012324877285864204,1.9000000000000004,10.0
752000,-0.003896645563072525,311.06,0.8233280444145202,94,1.54054874420166,1.2440475988388062,0.4401116643276907,5.83,590,0.016051401349250226,1.0,11.0
760000,-0.0046707766022882425,311.03,0.8404566615819931,95,1.5168919467926025,1.257398009300232,0.40656849867023015,5.93,590,0.01512489713728428,1.0,11.0
768000,-0.0030126502059283668,319.58,0.8008026593923568,96,1.5204919743537904,1.2721485376358033,0.4076208204844338,6.2,589,0.015470114038325846,1.0,11.0
776000,-0.005369991587431286,339.12,0.8351501601934433,97,1.521280481815338,1.2662165892124175,0.4117637534182106,6.59,589,0.015320480223745108,2.0,11.0
784000,-0.003135418667934573,340.52,0.8600923454761505,98,1.4309862858057023,1.2647305154800415,0.40320174042655826,6.36,588,0.013753418326377869,3.0,11.0
792000,-0.003289422476191248,347.11,0.7905743932723999,99,1.5880946004390717,1.246915214061737,0.4476608324230614,6.53,587,0.01697035528719425,3.0,11.0
800000,-0.002565175214840565,360.24,0.8176120102405549,100,1.629330067038536,1.2423370778560638,0.4745005645340179,6.82,587,0.01770207697758451,3.0,11.0
808000,-0.0034392484204727224,361.58,0.8422183018922805,101,1.4573276770114898,1.2490173256397248,0.41310296288239423,7.12,586,0.013947949390858411,3.0,11.0
816000,-0.0035914222337305544,364.29,0.8262351018190384,102,1.489295265674591,1.26035520195961,0.4123425288260887,7.24,586,0.01459937185049057,3.0,11.100000000000009
824000,-0.005498181595467031,364.02,0.7570538020133972,103,1.6285557091236114,1.231478680074215,0.5095668062625888,7.25,585,0.018971335787791758,3.9000000000000004,12.0
832000,-0.008282614532945445,346.28,0.6943706929683685,104,1.8791938108205795,1.1124713707482443,0.7607773761026231,6.68,584,0.034947954143863175,3.0,11.0
840000,-0.0028199111405410805,340.6,0.832621585726738,105,1.519107294678688,1.2327391707897186,0.42327895882335165,6.3,584,0.015267658266238868,2.0,11.0
848000,-0.001097838202258572,343.83,0.8646689748764038,106,1.3805020123720169,1.2554843270778655,0.37353465765585914,6.49,584,0.012572236882988364,2.0,12.0
856000,-0.005817093618097715,345.36,0.8532748079299927,107,1.3733326613903045,1.245673965215683,0.4032880442932027,6.54,583,0.01231760008726269,2.0,12.0
