frames,approx_kl_divergence,explained_variance,P09:episode_rewards,policy_loss,PMM:episode_rewards,value_loss,clip_fraction,epoch_idx,policy_entropy,fps,P01:episode_rewards,episode_length,advantage_norm,grad_norm
768000,0.0023807504817966673,-1.9371509552001954e-08,405.00000000000045,-0.0013321936363354324,199.0,0.010249673906446332,0.203173828125,75,1.7760824687778949,509,50.0,337.81,15.96871691942215,0.05404104876830647
778240,0.0032728101496331875,1.4901161193847657e-09,452.50000000000017,-0.0019095103350991848,198.0,0.008422449000681809,0.26455078125,76,1.766983999311924,508,50.0,338.17,15.968717360496521,0.051784809650429996
788480,0.0024921043013478084,1.080334186553955e-08,477.5000000000002,-0.001167610673837771,200.75,0.009990362868120429,0.2131591796875,77,1.7664282381534577,508,50.0,340.44,15.968717741966248,0.05253436154350675
798720,0.0026749545882921665,0.0,382.5000000000007,-0.0014464103151112795,165.0,0.007487839222903858,0.2257080078125,78,1.7828593283891678,507,50.0,332.0,15.968716418743133,0.053062909383846744
808960,0.003045923284116725,6.332993507385254e-09,307.5000000000006,-0.001847761585668195,162.5,0.008264020810395322,0.26474609375,79,1.7768718793988227,506,47.50000000000001,333.26,15.968716567754745,0.052470969124871994
819200,0.0031275198650973835,-2.2351741790771484e-09,327.5000000000002,-0.002295940835028887,151.75,0.008923375820631917,0.2694580078125,80,1.7825196176767348,505,25.0,333.62,15.96871782541275,0.0538002882462628
829440,0.003538605162452768,-1.1175870895385742e-08,350.0,-0.001918427916825749,167.25,0.009971720394969453,0.28662109375,81,1.7815346285700797,504,25.0,334.91,15.968717777729035,0.05444416938809228
839680,0.0026990749804269853,1.7881393432617187e-08,352.5000000000002,-0.0015835449525184232,168.75,0.008643887631069446,0.2376953125,82,1.784948366880417,503,25.0,335.73,15.968717694282532,0.05248578655397843
849920,0.002740423021919014,0.0,427.5000000000002,-0.002192010744693107,194.75,0.01067504307247873,0.2564208984375,83,1.7708272822201252,502,25.0,341.85,15.968717902898788,0.056133111055065174
860160,0.0023895405494499754,-4.8428773880004884e-09,425.0,-0.001492466741547105,200.0,0.00913158230632689,0.199951171875,84,1.782605741918087,501,47.50000000000001,346.17,15.968717843294144,0.05386067181324764
870400,0.0022117431339438555,2.9802322387695314e-09,452.50000000000017,-0.001327364629105432,202.75,0.01001417339884938,0.1936279296875,85,1.7794400669634343,500,25.0,341.8,15.968717694282532,0.05505950480688291
880640,0.002995752489448478,5.960464477539063e-09,477.5000000000002,-0.0017326088021945908,210.75,0.011294296583400865,0.24169921875,86,1.781627106666565,500,50.0,344.1,15.96871777176857,0.05540512720659431
890880,0.0027391580014352714,2.2351741790771484e-09,477.5000000000002,-0.0012698433496552753,194.0,0.006849881569769423,0.233447265625,87,1.7806841805577278,499,50.0,335.72,15.968717676401138,0.05299586123188044
901120,0.0033727642372639367,-1.2665987014770507e-08,452.50000000000017,-0.0018949845056340565,173.25,0.0087937128133035,0.29228515625,88,1.7832850396633149,499,47.50000000000001,331.96,15.968717473745347,0.05408498789660119
911360,0.0035853296422715176,-5.215406417846679e-09,332.5000000000006,-0.0023732094770821275,140.5,0.005675560093868626,0.3121826171875,89,1.7735060006380081,497,0.0,322.59,15.96870597600937,0.0498005168683916
921600,0.003099831773241135,-1.2293457984924316e-08,280.00000000000045,-0.0020272639350878306,141.75,0.008354315002270596,0.2994873046875,90,1.7820497550070287,497,0.0,326.66,15.968717390298844,0.05147552254051683
931840,0.0030020641571695704,-9.313225746154785e-09,327.5000000000002,-0.0015674163958465214,146.0,0.007737104158877628,0.25283203125,91,1.7774385221302509,496,0.0,330.26,15.968717098236084,0.05505942393023564
942080,0.002790016690238417,1.4901161193847656e-08,275.0,-0.0014803994523390428,145.5,0.008399632918008137,0.25615234375,92,1.7775080755352974,496,25.0,332.35,15.968717849254608,0.055033957592046115
952320,0.003738537517790519,9.685754776000977e-09,275.0,-0.0021653504722053186,144.25,0.0078062711417260285,0.31328125,93,1.7678347684442997,495,25.0,332.72,15.968717527389526,0.05430678432239985
962560,0.002854184820972705,1.2293457984924316e-08,275.0,-0.0015889885708020302,147.0,0.008907179071684368,0.2513916015625,94,1.7653621569275857,494,25.0,331.55,15.968717736005782,0.051194831392751314
972800,0.002659587448476941,-1.3411045074462891e-08,300.0,-0.0014200919446011539,142.0,0.007741589073884825,0.251123046875,95,1.7826223060488702,493,25.0,330.85,15.968717497587203,0.05351507352153597
983040,0.002780153293474541,-2.2351741790771484e-09,277.5000000000002,-0.0017193574618431739,147.25,0.00837089368242232,0.244384765625,96,1.7861727871000768,493,47.50000000000001,330.88,15.968717277050018,0.054066030174122495
993280,0.0024846656928502854,-2.6077032089233397e-09,300.0,-0.0015953319212712812,150.5,0.008888687013450181,0.23056640625,97,1.7827974453568458,492,25.0,330.72,15.968717479705811,0.05243881870822622
1003520,0.0026547322535634523,-1.0058283805847169e-08,252.50000000000023,-0.0014373044403328094,140.75,0.006690717928683654,0.259521484375,98,1.778083212673664,492,25.0,326.47,15.968700897693633,0.05356264724585853
1013760,0.00269596023891836,-8.940696716308593e-09,275.0,-0.0012579742542584427,129.75,0.005713652346918252,0.231640625,99,1.7758863151073456,491,25.0,322.56,15.968715298175812,0.049746776285609765
1024000,0.002609454730077232,-4.097819328308106e-09,250.0,-0.001427340761074447,114.25,0.006916795436973188,0.2498046875,100,1.783970645070076,490,25.0,318.98,15.968716925382614,0.05270328819350667
1034240,0.002114185473340058,-1.862645149230957e-09,300.0,-0.0015005014298367313,136.0,0.009835598016934455,0.1839599609375,101,1.776128462702036,490,25.0,323.76,15.968714314699174,0.05571192692410809
1044480,0.002394269767114565,0.0,455.0000000000004,-0.0013756573120190297,181.5,0.011489227642596234,0.21298828125,102,1.7616064935922622,489,25.0,332.17,15.968717831373215,0.0544825886039841
1054720,0.002546353779007404,9.313225746154785e-09,500.0,-0.0017405206283001462,182.5,0.006447225999784223,0.2243408203125,103,1.7500678479671479,488,25.0,331.24,15.968706208467484,0.051439050589287896
1064960,0.0025941995195580604,-2.2351741790771484e-08,365.0000000000013,-0.001187328575178981,170.75,0.007884450935216591,0.234033203125,104,1.7752756044268607,488,25.0,328.86,15.968717551231384,0.052589930461537995
1075200,0.0028647284361341006,-1.1175870895385742e-08,280.00000000000045,-0.0019789917161688207,151.25,0.009543575248972046,0.2494140625,105,1.7684388481080533,487,25.0,325.21,15.968717736005782,0.05431791607821592
1085440,0.002562942739447749,2.2351741790771484e-09,330.0000000000004,-0.001390945102320984,159.5,0.007875613108831203,0.23623046875,106,1.7647348701953889,486,25.0,331.82,15.968717455863953,0.055430328988665144
1095680,0.0024165386371350905,1.1175870895385742e-09,375.0,-0.0012725272761599626,164.75,0.008304699051745957,0.2337646484375,107,1.7748186849057674,485,25.0,337.09,15.968716788291932,0.0536565320594317
1105920,0.002395970552288418,1.825392246246338e-08,330.0000000000004,-0.0013438340964057715,163.25,0.008861563716891396,0.22275390625,108,1.7799370184540748,484,25.0,335.73,15.968717753887177,0.05347748893370587
1116160,0.0025564944780512634,5.215406417846679e-09,227.5000000000002,-0.0013589140289695933,143.25,0.006541698326054756,0.2396484375,109,1.7605117000639439,484,25.0,331.81,15.968717193603515,0.0519784022845224
1126400,0.0027086481035894392,2.2351741790771484e-09,225.0,-0.0016491108792251908,122.25,0.007064245012407433,0.2301513671875,110,1.7745373867452146,483,25.0,319.29,15.968715089559556,0.05123051016081633
1136640,0.00222258146961849,1.1920928955078126e-08,230.0000000000004,-0.0014076273324462817,138.0,0.010021531757456615,0.21337890625,111,1.7805932678282261,483,25.0,326.39,15.968717402219772,0.05434446052485844
1146880,0.002432040775454425,-1.1175870895385742e-09,352.5000000000002,-0.0015883405110798776,161.75,0.009545342833735048,0.21591796875,112,1.7771620891988278,483,25.0,331.56,15.968717730045318,0.05324782608402109
1157120,0.0024384100860572744,-6.7055225372314455e-09,500.0,-0.0014684568137454334,204.75,0.010079084116114245,0.21328125,113,1.7516675755381583,482,50.0,342.8,15.96871770620346,0.05365154948491191
1167360,0.0024217383964355577,-1.1175870895385742e-09,477.5000000000002,-0.0014970375617849641,202.0,0.010736902416101656,0.1822265625,114,1.7730128958821296,481,50.0,340.2,15.96871789097786,0.05283372324921522
1177600,0.0025488646243672975,-7.078051567077636e-09,502.5000000000002,-0.001002796933244099,207.75,0.009121143580608759,0.2333740234375,115,1.7654691852629185,481,50.0,345.8,15.968716830015182,0.05480102316851123
1187840,0.0032757137662315474,2.2351741790771484e-09,475.0,-0.0019144387282722165,175.0,0.007412535592925451,0.2761474609375,116,1.7737137772142888,481,25.0,335.29,15.96871766448021,0.05371541860626565
