epoch_idx,value_loss,P01:episode_rewards,advantage_norm,frames,episode_length,policy_loss,policy_entropy,fps,grad_norm,P09:episode_rewards,PMM:episode_rewards,explained_variance
90,0.0008549827965907752,0.0,0.2734630260244012,720000,180.89,0.00012300990354560781,1.3859618353843688,468,0.040323169932421514,3.0,1.38,-2.8349075508117676
91,0.0005458579067840219,0.0,0.19725482650101184,728000,174.79,-3.655384589364985e-05,1.3857316553592682,468,0.030132390725739543,3.0,1.17,-5.101167897582054
92,0.000780070154914938,0.0,0.2585355358198285,736000,166.99,6.831986051111017e-05,1.384956064224243,468,0.04021565330502992,3.0,1.0,-5.077350476384163
93,0.0007900418609506232,0.0,0.23312782477587463,744000,172.42,0.00018624341624672524,1.3853852355480194,469,0.03349301549791743,3.0,1.16,-2.150062586069107
94,0.0007549015669701476,0.0,0.2506863211654127,752000,177.82,-0.00032751885839388706,1.3845680594444274,469,0.04236039672255381,3.0,1.3,-1.752506417632103
95,0.0009518059045603878,0.0,0.2411501745507121,760000,176.98,0.0022641753345305914,1.3842711424827576,469,0.057284076686802674,3.0,1.29,-1.7608125388622284
96,0.0012679473436855914,0.0,0.30081641040742396,768000,166.83,8.252864721725927e-05,1.3840253043174744,469,0.04518519215101405,2.0,1.02,-2.745155286192894
97,0.0010704667472964502,0.0,0.3000367967784405,776000,177.45,8.154250783263705e-05,1.3856285333633422,469,0.046485739559662884,3.0,1.27,-2.8258664882183075
98,0.0006688024023424077,0.0,0.22951970372349023,784000,182.83,-6.993077873630682e-05,1.3858703029155732,469,0.03472789401570451,3.0,1.39,-1.80021575152874
99,0.0011779345823993027,0.0,0.2978013110347092,792000,178.21,0.0003146286232549755,1.3855407559871673,469,0.046197846990454525,3.0,1.27,-26.943492440581323
100,0.0005552209643792594,0.0,0.21779073428362608,800000,179.85,-0.0003064426564378664,1.3854226803779601,470,0.03488206995036276,3.0,1.31,-0.5926908320188522
101,0.0008565865505397596,0.0,0.2710606795735657,808000,181.6,9.458358908887021e-06,1.385579743385315,470,0.04326829475071224,3.0,1.34,-13.91472854912281
102,0.0015837157739497342,0.0,0.3782099892571569,816000,190.87,-6.194358436914627e-05,1.3845809042453765,470,0.055483278892135016,4.0,1.53,-1.9228021967411042
103,0.0008856189257085134,0.0,0.22796451402828097,824000,185.75,5.4516454896997855e-05,1.3853117680549623,470,0.03269427841999636,3.1000000000000085,1.44,-2.7630688935518264
104,0.0007530318934550451,0.0,0.2399019468203187,832000,177.31,-8.114316580758895e-05,1.3846459734439849,470,0.036817505600668606,3.0,1.32,-0.8938062453269958
105,0.0005039836059540903,0.0,0.1925115475617349,840000,176.33,5.06745363236405e-05,1.3856744813919066,470,0.027414578605495135,3.0,1.25,-0.9285269457101822
106,0.0011340455345589362,0.0,0.3093521009385586,848000,175.29,0.00015558491490082815,1.3857696735858918,470,0.047743715627019956,3.1000000000000085,1.28,-1.3277474492788315
107,0.0004952329751881734,0.0,0.18727937748655676,856000,177.49,-5.4269216961984055e-05,1.385546439886093,471,0.027565566828311367,3.0,1.31,-1.7984115225076676
108,0.0011554930908278039,0.0,0.3066559460014105,864000,183.51,-0.00011518421524669975,1.3849853050708771,471,0.04624888176743405,3.0,1.4,-0.2542728739976883
109,0.0011607124365991695,0.0,0.311428148727864,872000,186.16,-1.8337295477977022e-06,1.3834648096561433,471,0.05199195331322037,4.0,1.45,-1.2043447369337081
110,0.001198712157593036,0.0,0.32063837844878434,880000,193.23,4.3285849533276635e-05,1.3851139295101165,471,0.04571627175253146,4.0,1.67,-6.627030040025711
111,0.0003680774344229576,0.0,0.17640111772343517,888000,188.59,4.665845437557436e-05,1.385906150341034,471,0.025647749911371462,4.0,1.53,-3.6391321164369583
112,0.0008249555034694822,0.0,0.2522713099233806,896000,187.32,-6.807807538280031e-05,1.3846871697902678,471,0.03961483061070835,4.0,1.47,-1.1207026356458665
113,0.001034129947574911,0.0,0.2594892084226012,904000,182.85,4.70237046101829e-06,1.3845028901100158,472,0.039597751441118885,4.0,1.38,-2.9508557587862017
114,0.0005928273816789442,0.0,0.23234159417450428,912000,177.16,3.185820780345239e-05,1.3840961515903474,472,0.03893836169683981,4.0,1.27,-2.660770846605301
115,0.000718577251741408,0.0,0.22639620672911406,920000,172.43,7.218789069156628e-06,1.3850336289405822,472,0.030668500279071916,3.0,1.16,-1.0177241611480712
116,0.0005203015737879469,0.0,0.18467495441436768,928000,178.37,-3.9166576752904805e-05,1.3848759567737579,472,0.028112199155931168,3.0,1.26,-1.2671368092298507
117,0.0010011573599831537,0.0,0.2765958273038268,936000,185.01,9.255507267880603e-05,1.385043672323227,472,0.04201908470266674,3.1000000000000085,1.44,-2.2009595733880998
118,0.000812893619663555,0.0,0.2497938233613968,944000,183.11,-0.00018208736160886475,1.3852415227890014,472,0.03681330101356997,3.0,1.44,-4.284051347970962
119,0.000768765160410112,0.0,0.24320148397237062,952000,174.76,1.5547881776001305e-05,1.3834966588020325,473,0.03806571370109817,3.0,1.23,-1.554974956512451
120,0.0004260174262117289,0.0,0.17269875233992935,960000,172.72,6.499506322143134e-05,1.384362405538559,473,0.027027768700033348,3.0,1.16,-1.9428413850069046
121,0.0006877489192947905,0.0,0.21016115441918373,968000,176.37,3.566411542124115e-05,1.3856272387504578,473,0.0311567556175188,3.0,1.26,-0.6751643472909927
122,0.0007443892583751221,0.0,0.24327642558142543,976000,185.93,0.00010344550376430562,1.3857573437690736,473,0.03811407352334806,4.0,1.44,-0.4953300219774246
123,0.0008070735927594797,0.0,0.2568486607447267,984000,194.25,0.00014244267324102112,1.385545279979706,473,0.03677749297220916,4.0,1.61,-1.3029697221517562
124,0.001440158510749825,0.0,0.36745918296277524,992000,208.06,1.802169863367453e-05,1.3855816304683686,473,0.05451800170119217,4.1000000000000085,2.0,-1.2553797823190689
125,0.0005455604228609446,0.0,0.2171104971319437,1000000,200.34,3.921833162166877e-05,1.3854581689834595,473,0.0316545477777189,4.0,1.84,-1.6845989060401916
126,0.0007330561213029795,0.0,0.22556343480944632,1008000,185.87,-9.282707578677219e-05,1.3854765582084656,473,0.035049174998672356,4.0,1.51,-1.3577992743253708
127,0.0003537756237483336,0.0,0.1663112284615636,1016000,179.68,3.73807066353038e-05,1.3851399862766265,473,0.025285896118182338,3.0,1.32,-1.8338115572929383
128,0.0005079567998745915,0.0,0.19949030436575413,1024000,182.32,0.0001479737595655095,1.3856747162342071,473,0.03412887588762651,3.0,1.33,-1.3685631716251374
129,0.0005125217058889575,0.0,0.20073520379140974,1032000,178.7,-0.0002559618015220622,1.3851394331455231,474,0.032975072367631676,3.0,1.28,-0.7550410395860672
130,0.0005899224837139628,0.0,0.22274481266736984,1040000,174.33,2.496529275958892e-05,1.3849205267429352,474,0.038811263629368285,3.0,1.18,-3.337876885533333
131,0.0008563728835770235,0.0,0.24673865862190725,1048000,184.51,-2.948515725620382e-05,1.3837290120124817,474,0.038459862838016785,3.0,1.43,-0.5579601913690567
