fps,episode_length,value_loss,epoch_idx,grad_norm,policy_loss,frames,advantage_norm,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,policy_entropy,explained_variance
492,179.74,0.0008965814281054918,87,0.03841824084687775,0.0003055074016447179,696000,0.2501643347367644,1.33,0.0,3.0,1.384716511964798,-2.493456315994263
492,189.43,0.0013153098938710173,88,0.05464367290726961,1.4510515429719816e-05,704000,0.33016818691045047,1.54,0.0,3.0,1.3853821623325349,-1.0183408892154693
492,184.88,0.0013236475253143,89,0.05354897614804596,-5.5963742634048684e-05,712000,0.3340618183836341,1.47,0.0,3.0,1.3843054759502411,-2.8220391988754274
493,178.35,0.0011929017230522731,90,0.04871196671252474,-0.0003148726451399853,720000,0.31550253339111806,1.3,0.0,3.0,1.3840839278697967,-23.83357759475708
493,176.42,0.0009769802248320047,91,0.043685046556067836,0.00047884397001325853,728000,0.26407274678349496,1.22,0.0,3.0,1.3834332251548767,-5.808581568002701
493,178.05,0.0021703176212668042,92,0.12295512989766959,-0.002357343281037174,736000,0.3764906619861722,1.27,0.0,3.0,1.3840034592151642,-26.813512766361235
493,182.04,0.0015379938558180584,93,0.05452025788010908,-0.0003851772114285268,744000,0.3633787464350462,1.41,0.0,3.0,1.381716593503952,-17.498923278450967
494,184.6,0.0007793431529808004,94,0.03782052016019628,0.00025815198860072995,752000,0.2512634850293398,1.48,0.0,3.0,1.3840782177448272,-3.5460178726911544
494,176.06,0.0009197639819740289,95,0.046122049183550305,0.0001191681603086181,760000,0.2733205958083272,1.2,0.0,3.0,1.3854909324645996,-2.4155365377664566
494,180.13,0.001522126171103082,96,0.054938746299692545,3.54105862788856e-05,768000,0.3685837410390377,1.3,0.0,4.0,1.3850983715057372,-4.690271332859993
494,198.39,0.001206639684601214,97,0.04460291799431837,-3.593489253944426e-05,776000,0.31380423858761786,1.78,0.0,4.1000000000000085,1.3852843272686004,-1.6595827460289
495,193.61,0.0007172604074639821,98,0.03939378526757117,-0.0002146793880092446,784000,0.23921647660434245,1.68,0.0,4.1000000000000085,1.3855842673778533,-2.2534169548749925
495,182.59,0.0009223094464687164,99,0.04327317328452082,6.649890114204027e-05,792000,0.2810041693598032,1.38,0.0,3.0,1.3849059426784516,-4.053663159608841
495,176.53,0.0009851601160880818,100,0.04547675839077216,-0.00013847531743522268,800000,0.2767519170045853,1.24,0.0,3.0,1.3849934911727906,-1.480743595957756
495,174.1,0.001082121660483608,101,0.04427734536183757,0.00020540872777928597,808000,0.29801243275403977,1.22,0.0,3.0,1.384759051799774,-0.96732372879982
496,178.91,0.001061815156481316,102,0.04648232315549845,-0.00043295857845805587,816000,0.2828928232938051,1.32,0.0,3.0,1.3850867450237274,-1.2496062994003296
496,177.99,0.0005827919297462359,103,0.03635811755046901,-5.1976135064251136e-05,824000,0.22413794089108705,1.28,0.0,3.1000000000000085,1.3850612688064574,-2.0783068335056303
496,177.77,0.001198647281544254,104,0.05150087945530432,0.00011176073483511573,832000,0.31790762290358543,1.31,0.0,3.1000000000000085,1.3841424882411957,-5.242334695458412
496,178.07,0.0007431026056337941,105,0.03572850812668167,0.0003879899218372884,840000,0.2244152743369341,1.31,0.0,3.0,1.3846541213989259,-2.535168071985245
496,176.26,0.000561278953218789,106,0.037037548812111215,-0.0003499711918993853,848000,0.22517314162105323,1.27,0.0,3.0,1.3846549677848816,-1.8535565793514253
497,177.35,0.0011141492568594912,107,0.049739318965524776,-0.00010047808711533435,856000,0.2961372458562255,1.29,0.0,3.0,1.38426806807518,-3.408080602288246
497,185.36,0.0009813861950897262,108,0.04717872258859566,-0.0003696130531898234,864000,0.3072098817676306,1.43,0.0,4.0,1.3809104347229004,-3.292257660627365
497,196.29,0.0011160788925235466,109,0.04321280457848819,0.00035209011075494346,872000,0.30635919263586403,1.71,0.0,5.0,1.38223628282547,-2.363466992378235
497,185.94,0.000485596051853463,110,0.03204958769712757,0.0002654965147121402,880000,0.20318513683974743,1.48,0.0,4.0,1.3850042533874511,-1.138777538537979
497,173.43,0.0010218893923411088,111,0.048772209221084044,-0.00011201629531569779,888000,0.28670440092682836,1.18,0.0,3.0,1.3829519963264465,-6.403365710973739
498,182.2,0.0010877023042849031,112,0.05008505915946734,-0.0002674683872464811,896000,0.2981853361986577,1.37,0.0,3.0,1.3834645569324493,-2.1813755196332933
498,183.75,0.0008027653217368425,113,0.040916786401922235,0.0002057323750341311,904000,0.24850548313930632,1.38,0.0,3.0,1.3829220962524413,-1.505659843683243
498,174.47,0.0010497506889714714,114,0.04653438227685051,-0.0006044808383012423,912000,0.2700610874593258,1.2,0.0,3.0,1.3850883150100708,-0.5071068227291107
