epoch_idx,episode_length,grad_norm,avg_q_selected,fps,P01:episode_rewards,policy_entropy,P09:episode_rewards,avg_q_retraced,policy_gradient_loss,rollout_prob_std,explained_variance,model_prob_std,q_loss,policy_loss,advantage_norm,frames,PMM:episode_rewards,policy_gradient_bias_correction
54,3324.47,0.0001516490154110838,0.0001133109634270474,388,0.0,2.191685334292669,0.0,0.00011539094303640151,-2.0140882983539433e-06,0.016196725572651578,-3.5797578534767736,0.011785711348167664,2.643979186801364e-07,-2.187749213119007e-06,0.004177421928809111,388800,0.0,-1.736609519382915e-07
55,3324.47,0.0001251078963618021,0.00017212156526827169,388,0.0,2.191674581344682,0.0,0.0001709068286357469,-3.296252638703891e-06,0.015015670500281113,-3.313770617305115,0.011812771557975417,2.0888502012441768e-07,-3.580518914187643e-06,0.003587710211087886,396000,0.0,-2.8426624797943974e-07
56,3324.46,0.0001427291351595688,0.00012926629280874226,386,0.0,2.1916538740970473,0.0,0.00013020916253889602,-3.49073730578675e-06,0.016566470056935068,-10.148481640298384,0.011829321146602222,2.3561239785209245e-07,-2.9228062212697883e-06,0.003853630868272893,403200,0.0,5.679310631118025e-07
57,3324.46,0.0001291313651700185,-4.5722131716599643e-05,386,0.0,2.191173808196234,0.0,-4.778568668169349e-05,-1.9794741392489516e-06,0.015113508935263826,-12.826496668774931,0.01220964399731851,1.8623449884500865e-07,-2.3898248020097904e-06,0.0033272886149019803,410400,0.0,-4.1035067717749066e-07
58,3324.46,0.0001393585442977703,-1.4935350268857167e-05,385,0.0,2.191169491192651,0.0,-1.6235729951128116e-05,1.5911025025337738e-06,0.017768736623286728,-9.682529990183452,0.012200374180702344,1.7787851130451324e-07,7.891379430537159e-07,0.0034231318133543178,417600,0.0,-8.01964545134566e-07
59,3324.46,0.00012735378279571887,0.00014606083927017408,384,0.0,2.191890193952454,0.0,0.00014692848727759517,-2.469431659033179e-06,0.014694696326688347,-5.900822867306453,0.01157210104925085,1.7485797980242797e-07,-3.0096997013700613e-06,0.0034767442659514405,424800,0.0,-5.402680031695535e-07
60,3324.46,0.00010832365152243808,0.0001877178891901764,384,0.0,2.1921036774014673,0.0,0.00018134485259488142,-3.5080667060293807e-06,0.014974702841690965,-4.913362334039475,0.011348209935683936,1.3891768657073178e-07,-3.5231678934869994e-06,0.00285830529470187,432000,0.0,-1.5101164141102567e-08
61,3324.59,0.00013620765895490128,0.00011253492980269689,383,0.0,2.191922248504149,0.0,0.00011272056359959206,-2.343208357561381e-06,0.015721050593595475,-4.726975796993762,0.011546827888710021,1.8964427765826715e-07,-2.5814994457220115e-06,0.003686443415103101,439200,0.0,-2.3829108078201785e-07
62,3324.59,9.417585663810725e-05,0.0001443900324391016,382,0.0,2.1919731231152064,0.0,0.00014261691044160284,-3.3631608200658373e-06,0.015425426965498083,-19.882544242843746,0.011500757051158753,1.1056212179826867e-07,-3.732075151042915e-06,0.0025239512462154837,446400,0.0,-3.6891427851741785e-07
63,3324.59,0.0001243825743902268,-0.0002642806435193759,382,0.0,2.1906420726641946,0.0,-0.00026708049374024985,3.8909400289434205e-06,0.015729188214447267,-18.197882955452325,0.012662208485867275,1.5891369707510078e-07,3.674946185244323e-06,0.0029533046203265457,453600,0.0,-2.159938515210142e-07
64,3324.59,0.00012653917418345835,3.499833373112663e-05,381,0.0,2.191565525311011,0.0,4.0409614422645526e-05,1.3125458115938673e-06,0.016220254929645097,-11.593345944233358,0.011903509105747891,1.6069490287492215e-07,1.364035200923981e-06,0.003167649267367956,460800,0.0,5.148941840860532e-08
65,3324.59,0.0001322604394510665,8.719226640803553e-05,380,0.0,2.191615750638265,0.0,8.76266533238971e-05,-1.0337013772663732e-06,0.01462244346545684,-3.306549182070627,0.011865366723920618,1.8293194854070185e-07,-1.218446658381506e-06,0.0036520387837986673,468000,0.0,-1.8474526849817104e-07
66,3324.59,0.00011955504139566445,0.00010067761100175169,379,0.0,2.1916902518682377,0.0,9.745086678980028e-05,-2.856016157779693e-06,0.01621124458175261,-2.6634585160750253,0.011794312237072047,1.5616380497955935e-07,-2.8304772221975416e-06,0.0032491510089508544,475200,0.0,2.553893105286458e-08
67,3324.7,0.00011722614347468486,0.00011374305186961018,379,0.0,2.1918171189890967,0.0,0.0001139952164922495,-2.9546477451526213e-06,0.014793014121734628,-12.704463798417931,0.011672009756731945,1.7596223573652916e-07,-2.7352790742929633e-06,0.0033096665779954663,482400,0.0,2.1936865731930771e-07
68,3324.7,0.00010161216189825109,5.8116849288520645e-06,378,0.0,2.19139515679034,0.0,2.2735313404282523e-06,-1.4235342533607368e-06,0.017638400551079524,-136.60652468803698,0.012034137379488953,1.19912108208188e-07,-1.6511963946472094e-06,0.002590042628722181,489600,0.0,-2.2766215083836738e-07
69,3324.7,0.00012599988559260902,-2.6627565161122997e-05,378,0.0,2.1910896200130856,0.0,-1.8880271601351488e-05,1.3796741780894863e-06,0.014905793175936512,-50.61029295549742,0.012285371099317828,1.561292012857882e-07,9.393548523059995e-07,0.003127345240363144,496800,0.0,-4.4031933290519746e-07
